header_capture_month,issuer_name,chip_indicator_uid,product_uid,description,purchase_txn_amt,purchase_txn_cnt
2016-09-01 00:00:00.000000000,Royal Bank,7,1,Hardware Stores,71279440.81,919933
2017-04-01 00:00:00.000000000,Scotiabank,9,1,"Drug Stores, Pharmacies",16723466.53,784273
2018-12-01 00:00:00.000000000,Royal Bank,3,1,"Grocery Stores, Supermarkets",100088.58,1194
2018-08-01 00:00:00.000000000,CIBC,7,1,Hardware Stores,61632711.08,706047
2017-09-01 00:00:00.000000000,CIBC,3,1,"Fuel Dispenser, Automated",0.00,0
2018-10-01 00:00:00.000000000,TD Canada Trust,3,1,"Eating Places, Restaurants",994.30,17
2016-04-01 00:00:00.000000000,BMO Bank of Montreal,7,1,Fast Food Restaurants,23834342.11,1974650
2016-01-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Grocery Stores, Supermarkets",694.57,7
2017-10-01 00:00:00.000000000,TD Canada Trust,4,1,Hardware Stores,12.42,1
2017-06-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Grocery Stores, Supermarkets",575.63,19
2017-11-01 00:00:00.000000000,TD Canada Trust,4,1,Fast Food Restaurants,54.43,1
2018-12-01 00:00:00.000000000,TD Canada Trust,3,1,"Eating Places, Restaurants",754.81,14
2016-12-01 00:00:00.000000000,CIBC,2,1,"Drug Stores, Pharmacies",57.83,1
2018-12-01 00:00:00.000000000,Royal Bank,2,1,Fast Food Restaurants,427.67,32
2016-02-01 00:00:00.000000000,TD Canada Trust,3,1,Fast Food Restaurants,59117.57,4752
2017-06-01 00:00:00.000000000,Royal Bank,5,1,Fast Food Restaurants,129160.23,9569
2016-10-01 00:00:00.000000000,Scotiabank,7,1,Hardware Stores,54389413.46,773770
2018-07-01 00:00:00.000000000,CIBC,2,1,"Eating Places, Restaurants",45.57,1
2018-12-01 00:00:00.000000000,Royal Bank,7,1,"Fuel Dispenser, Automated",81575182.27,1840901
2019-01-01 00:00:00.000000000,Scotiabank,2,1,"Fuel Dispenser, Automated",380.38,64
2018-10-01 00:00:00.000000000,CIBC,3,1,Fast Food Restaurants,14.41,1
2016-10-01 00:00:00.000000000,BMO Bank of Montreal,3,1,Hardware Stores,95.21,2
2018-03-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Grocery Stores, Supermarkets",32322400.87,681164
2016-08-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Drug Stores, Pharmacies",130591.69,3899
2016-08-01 00:00:00.000000000,TD Canada Trust,3,1,"Drug Stores, Pharmacies",179032.43,5108
2016-08-01 00:00:00.000000000,Scotiabank,9,1,"Grocery Stores, Supermarkets",3211943.43,150764
2018-12-01 00:00:00.000000000,CIBC,2,1,"Eating Places, Restaurants",70.40,5
2016-01-01 00:00:00.000000000,CIBC,5,1,Fast Food Restaurants,135542.81,11440
2016-01-01 00:00:00.000000000,TD Canada Trust,2,1,Hardware Stores,9339.00,344
2019-01-01 00:00:00.000000000,Royal Bank,5,1,"Drug Stores, Pharmacies",147111.42,2717
2016-05-01 00:00:00.000000000,CIBC,2,1,Fast Food Restaurants,108.97,7
2016-11-01 00:00:00.000000000,CIBC,7,1,"Eating Places, Restaurants",48192693.47,1529676
2017-09-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Fuel Dispenser, Automated",33683400.91,826257
2018-03-01 00:00:00.000000000,CIBC,7,1,"Grocery Stores, Supermarkets",52454715.04,1018832
2016-08-01 00:00:00.000000000,TD Canada Trust,2,1,"Drug Stores, Pharmacies",251.94,5
2017-05-01 00:00:00.000000000,TD Canada Trust,2,1,Hardware Stores,17289.65,591
2018-03-01 00:00:00.000000000,CIBC,3,1,"Eating Places, Restaurants",37.96,2
2017-07-01 00:00:00.000000000,Royal Bank,4,1,"Fuel Dispenser, Automated",0.00,0
2016-06-01 00:00:00.000000000,Royal Bank,2,1,"Eating Places, Restaurants",684.20,19
2018-04-01 00:00:00.000000000,Royal Bank,5,1,"Grocery Stores, Supermarkets",294818.31,5097
2016-06-01 00:00:00.000000000,BMO Bank of Montreal,4,1,Hardware Stores,6152.39,179
2016-10-01 00:00:00.000000000,Scotiabank,9,1,"Fuel Dispenser, Automated",4059900.64,170758
2017-08-01 00:00:00.000000000,Scotiabank,7,1,Fast Food Restaurants,23295396.85,1763703
2016-10-01 00:00:00.000000000,BMO Bank of Montreal,5,1,"Eating Places, Restaurants",89424.45,2934
2018-01-01 00:00:00.000000000,Royal Bank,3,1,"Grocery Stores, Supermarkets",119244.54,1534
2018-12-01 00:00:00.000000000,BMO Bank of Montreal,7,1,"Drug Stores, Pharmacies",52812152.34,1026072
2019-01-01 00:00:00.000000000,TD Canada Trust,4,1,"Fuel Dispenser, Automated",0.00,0
2016-06-01 00:00:00.000000000,Scotiabank,4,1,"Fuel Dispenser, Automated",1696784.42,48819
2016-02-01 00:00:00.000000000,Scotiabank,7,1,"Drug Stores, Pharmacies",48935963.87,1447648
2017-07-01 00:00:00.000000000,Royal Bank,7,1,Hardware Stores,85789467.51,1020827
2017-01-01 00:00:00.000000000,Royal Bank,4,1,Fast Food Restaurants,14.75,1
2017-01-01 00:00:00.000000000,CIBC,7,1,"Grocery Stores, Supermarkets",52607028.60,1131312
2016-08-01 00:00:00.000000000,TD Canada Trust,7,1,"Drug Stores, Pharmacies",90499989.05,2455334
2017-03-01 00:00:00.000000000,Royal Bank,5,1,Hardware Stores,223531.45,2538
2017-01-01 00:00:00.000000000,TD Canada Trust,5,1,"Eating Places, Restaurants",185283.13,6195
2017-04-01 00:00:00.000000000,Royal Bank,4,1,"Grocery Stores, Supermarkets",7.67,1
2018-10-01 00:00:00.000000000,BMO Bank of Montreal,2,1,"Drug Stores, Pharmacies",223.14,2
2018-10-01 00:00:00.000000000,BMO Bank of Montreal,3,1,"Eating Places, Restaurants",61.64,2
